# 0.777288
中	CHN	丨	O/0.999771	O/0.999771	R-B/0.000229	R-I/0.000000
断	CHN	斤	O/0.999987	O/0.999987	R-B/0.000013	R-I/0.000000
端	CHN	立	O/0.999986	O/0.999986	R-B/0.000005	R-I/0.000010
对	CHN	寸	O/0.999966	O/0.999966	R-B/0.000033	R-I/0.000001
位	CHN	亻	O/0.999938	O/0.999938	R-B/0.000027	R-I/0.000034
对	CHN	寸	O/0.999996	O/0.999996	R-B/0.000004	R-I/0.000000
线	CHN	纟	O/0.999990	O/0.999990	R-B/0.000008	R-I/0.000002
可	CHN	口	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
门	CHN	门	O/0.999836	O/0.999836	R-B/0.000164	R-I/0.000000
诊	CHN	讠	O/0.999996	O/0.999996	R-B/0.000000	R-I/0.000004
给	CHN	纟	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
予	CHN	亅	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
创	CHN	刂	O/0.999981	O/0.999981	R-B/0.000019	R-I/0.000000
口	CHN	口	O/0.999979	O/0.999979	R-B/0.000002	R-I/0.000019
加	CHN	力	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
压	CHN	厂	O/0.999623	O/0.999623	R-B/0.000377	R-I/0.000000
包	CHN	勹	O/0.999943	O/0.999943	R-B/0.000036	R-I/0.000021
扎	CHN	扌	O/0.999953	O/0.999953	R-B/0.000005	R-I/0.000042
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
后	CHN	口	O/0.999988	O/0.999988	R-B/0.000012	R-I/0.000000
患	CHN	心	O/0.999998	O/0.999998	R-B/0.000000	R-I/0.000002
者	CHN	耂	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
自	CHN	自	O/0.999989	O/0.999989	R-B/0.000011	R-I/0.000000
来	CHN	木	O/0.999997	O/0.999997	R-B/0.000002	R-I/0.000001
我	CHN	戈	O/0.999992	O/0.999992	R-B/0.000008	R-I/0.000000
院	CHN	阝	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
就	CHN	尢	O/0.999968	O/0.999968	R-B/0.000032	R-I/0.000000
诊	CHN	讠	O/0.999985	O/0.999985	R-B/0.000000	R-I/0.000015
,	PUNC	-	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
门	CHN	门	O/0.999009	O/0.999009	R-B/0.000985	R-I/0.000005
诊	CHN	讠	O/0.999805	O/0.999805	R-B/0.000000	R-I/0.000195
查	CHN	木	O/0.999074	O/0.999074	R-B/0.000736	R-I/0.000190
看	CHN	目	O/0.998182	O/0.998182	R-B/0.000895	R-I/0.000923
病	CHN	疒	O/0.999449	O/0.999449	R-B/0.000014	R-I/0.000537
人	CHN	人	O/0.999949	O/0.999949	R-B/0.000014	R-I/0.000038
后	CHN	口	O/0.999989	O/0.999989	R-B/0.000002	R-I/0.000008
以	CHN	人	O/0.999961	O/0.999961	R-B/0.000032	R-I/0.000007
左	CHN	工	R-B/0.999802	O/0.000175	R-B/0.999802	R-I/0.000024
手	CHN	手	R-I/0.999665	O/0.000015	R-B/0.000319	R-I/0.999665
拇	CHN	扌	R-I/0.999918	O/0.000000	R-B/0.000082	R-I/0.999918
指	CHN	扌	R-I/1.000000	O/0.000000	R-B/0.000000	R-I/1.000000
末	CHN	木	R-I/0.999920	O/0.000000	R-B/0.000080	R-I/0.999920
节	CHN	艹	R-I/1.000000	O/0.000000	R-B/0.000000	R-I/1.000000
开	CHN	廾	R-I/0.997705	O/0.000402	R-B/0.001893	R-I/0.997705
放	CHN	攵	R-I/0.999117	O/0.000800	R-B/0.000083	R-I/0.999117
骨	CHN	骨	R-I/0.996937	O/0.000001	R-B/0.003062	R-I/0.996937
折	CHN	扌	R-I/0.999977	O/0.000023	R-B/0.000001	R-I/0.999977
介	CHN	人	O/0.999732	O/0.999732	R-B/0.000000	R-I/0.000267
绍	CHN	纟	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
患	CHN	心	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
者	CHN	耂	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
自	CHN	自	O/0.999992	O/0.999992	R-B/0.000008	R-I/0.000000
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/0.999997	O/0.999997	R-B/0.000003	R-I/0.000000
以	CHN	人	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
来	CHN	木	O/0.999928	O/0.999928	R-B/0.000069	R-I/0.000003
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
无	CHN	无	O/0.999987	O/0.999987	R-B/0.000013	R-I/0.000000
发	CHN	又	R-B/0.999996	O/0.000003	R-B/0.999996	R-I/0.000001
热	CHN	灬	R-I/0.999996	O/0.000004	R-B/0.000000	R-I/0.999996
,	PUNC	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
无	CHN	无	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
头	CHN	大	R-B/0.999999	O/0.000001	R-B/0.999999	R-I/0.000000
晕	CHN	日	R-I/0.999932	O/0.000058	R-B/0.000010	R-I/0.999932
头	CHN	大	R-B/0.999848	O/0.000092	R-B/0.999848	R-I/0.000060
痛	CHN	疒	R-I/0.999423	O/0.000567	R-B/0.000010	R-I/0.999423
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
无	CHN	无	O/0.999986	O/0.999986	R-B/0.000014	R-I/0.000000
恶	CHN	心	R-B/0.999477	O/0.000507	R-B/0.999477	R-I/0.000016
心	CHN	心	R-I/0.999334	O/0.000438	R-B/0.000228	R-I/0.999334
呕	CHN	口	R-B/0.999929	O/0.000006	R-B/0.999929	R-I/0.000065
吐	CHN	口	R-I/0.999728	O/0.000269	R-B/0.000004	R-I/0.999728
,	PUNC	-	O/0.999998	O/0.999998	R-B/0.000000	R-I/0.000002
无	CHN	无	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
胸	CHN	月	R-B/0.999363	O/0.000628	R-B/0.999363	R-I/0.000009
闷	CHN	门	R-I/0.998429	O/0.001230	R-B/0.000341	R-I/0.998429
心	CHN	心	R-B/0.998478	O/0.000066	R-B/0.998478	R-I/0.001456
悸	CHN	忄	R-I/0.999454	O/0.000525	R-B/0.000022	R-I/0.999454
,	PUNC	-	O/0.999998	O/0.999998	R-B/0.000000	R-I/0.000002
无	CHN	无	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
腹	CHN	月	R-B/0.999996	O/0.000004	R-B/0.999996	R-I/0.000001
胀	CHN	月	R-I/0.999536	O/0.000098	R-B/0.000366	R-I/0.999536
腹	CHN	月	R-B/0.999015	O/0.000020	R-B/0.999015	R-I/0.000965
痛	CHN	疒	R-I/0.998839	O/0.000281	R-B/0.000881	R-I/0.998839
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
饮	CHN	饣	O/0.999986	O/0.999986	R-B/0.000014	R-I/0.000000
食	CHN	食	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
可	CHN	口	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
大	CHN	大	R-B/0.847806	O/0.152194	R-B/0.847806	R-I/0.000001
小	CHN	小	R-I/0.847116	O/0.152578	R-B/0.000306	R-I/0.847116
便	CHN	亻	R-I/0.847046	O/0.152112	R-B/0.000842	R-I/0.847046
均	CHN	土	O/0.999464	O/0.999464	R-B/0.000000	R-I/0.000535
正	CHN	止	O/0.999997	O/0.999997	R-B/0.000000	R-I/0.000003
常	CHN	巾	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
4	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
.	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
查	CHN	木	R-B/0.999997	O/0.000002	R-B/0.999997	R-I/0.000001
体	CHN	亻	R-I/0.999998	O/0.000002	R-B/0.000000	R-I/0.999998
:	PUNC	-	O/0.999976	O/0.999976	R-B/0.000002	R-I/0.000021
T	ENG	-	R-B/0.998863	O/0.001111	R-B/0.998863	R-I/0.000026
3	NUM	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
7	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
.	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
2	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
C	ENG	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
,	PUNC	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
P	ENG	-	R-B/0.998879	O/0.001121	R-B/0.998879	R-I/0.000000
7	NUM	-	O/0.999708	O/0.999708	R-B/0.000002	R-I/0.000291
7	NUM	-	O/0.999995	O/0.999995	R-B/0.000000	R-I/0.000005
次	CHN	欠	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
/	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
分	CHN	刀	O/0.999986	O/0.999986	R-B/0.000013	R-I/0.000001
,	PUNC	-	O/0.999989	O/0.999989	R-B/0.000011	R-I/0.000000
R	ENG	-	R-B/0.999860	O/0.000140	R-B/0.999860	R-I/0.000001
1	NUM	-	O/0.999651	O/0.999651	R-B/0.000000	R-I/0.000349
7	NUM	-	O/0.999995	O/0.999995	R-B/0.000000	R-I/0.000005
次	CHN	欠	O/0.999998	O/0.999998	R-B/0.000001	R-I/0.000001
/	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
分	CHN	刀	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
,	PUNC	-	O/0.999995	O/0.999995	R-B/0.000005	R-I/0.000000
B	ENG	-	R-B/0.999985	O/0.000005	R-B/0.999985	R-I/0.000010
P	ENG	-	R-I/0.999858	O/0.000003	R-B/0.000139	R-I/0.999858
1	NUM	-	O/0.999974	O/0.999974	R-B/0.000000	R-I/0.000026
5	NUM	-	O/0.999995	O/0.999995	R-B/0.000001	R-I/0.000004
3	NUM	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
/	PUNC	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
1	NUM	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
0	NUM	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
3	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
m	ENG	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
m	ENG	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
H	ENG	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
g	ENG	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
心	CHN	心	R-B/0.999968	O/0.000030	R-B/0.999968	R-I/0.000002
肺	CHN	月	R-I/0.972560	O/0.000055	R-B/0.027384	R-I/0.972560
腹	CHN	月	R-I/0.954777	O/0.002484	R-B/0.042739	R-I/0.954777
查	CHN	木	R-I/0.935328	O/0.000258	R-B/0.064414	R-I/0.935328
体	CHN	亻	R-I/0.999662	O/0.000306	R-B/0.000032	R-I/0.999662
未	CHN	木	O/0.999992	O/0.999992	R-B/0.000002	R-I/0.000006
见	CHN	见	O/0.999988	O/0.999988	R-B/0.000012	R-I/0.000000
明	CHN	日	O/0.999989	O/0.999989	R-B/0.000010	R-I/0.000001
显	CHN	日	O/0.999998	O/0.999998	R-B/0.000001	R-I/0.000001
异	CHN	廾	O/0.999997	O/0.999997	R-B/0.000003	R-I/0.000000
常	CHN	巾	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
专	CHN	一	O/0.999800	O/0.999800	R-B/0.000200	R-I/0.000000
科	CHN	禾	O/0.999971	O/0.999971	R-B/0.000002	R-I/0.000027
情	CHN	忄	O/0.999957	O/0.999957	R-B/0.000019	R-I/0.000024
况	CHN	冫	O/0.999930	O/0.999930	R-B/0.000034	R-I/0.000036
:	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
左	CHN	工	R-B/0.999322	O/0.000673	R-B/0.999322	R-I/0.000005
手	CHN	手	R-I/0.999240	O/0.000140	R-B/0.000619	R-I/0.999240
拇	CHN	扌	R-I/0.999761	O/0.000020	R-B/0.000219	R-I/0.999761
指	CHN	扌	R-I/0.999919	O/0.000000	R-B/0.000081	R-I/0.999919
末	CHN	木	R-I/0.999300	O/0.000020	R-B/0.000680	R-I/0.999300
节	CHN	艹	R-I/0.999910	O/0.000056	R-B/0.000034	R-I/0.999910
畸	CHN	田	R-B/0.926940	O/0.000224	R-B/0.926940	R-I/0.072836
形	CHN	彡	R-I/0.998995	O/0.000999	R-B/0.000006	R-I/0.998995
,	PUNC	-	O/0.999983	O/0.999983	R-B/0.000001	R-I/0.000016
肿	CHN	月	R-B/0.999978	O/0.000022	R-B/0.999978	R-I/0.000000
胀	CHN	月	R-I/0.999712	O/0.000213	R-B/0.000075	R-I/0.999712
明	CHN	日	O/0.999893	O/0.999893	R-B/0.000004	R-I/0.000103
显	CHN	日	O/0.999972	O/0.999972	R-B/0.000001	R-I/0.000027
,	PUNC	-	O/0.999981	O/0.999981	R-B/0.000017	R-I/0.000002
远	CHN	辶	O/0.504160	O/0.504160	R-B/0.495770	R-I/0.000069
节	CHN	艹	O/0.503969	O/0.503969	R-B/0.000598	R-I/0.495432
背	CHN	月	O/0.880982	O/0.880982	R-B/0.006883	R-I/0.112135
侧	CHN	亻	O/0.975996	O/0.975996	R-B/0.000015	R-I/0.023989
可	CHN	口	O/0.999896	O/0.999896	R-B/0.000000	R-I/0.000104
见	CHN	见	O/0.999998	O/0.999998	R-B/0.000001	R-I/0.000000
长	CHN	长	O/0.999848	O/0.999848	R-B/0.000151	R-I/0.000001
5	NUM	-	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
.	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
0	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
c	ENG	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
m	ENG	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
L	ENG	-	O/0.999992	O/0.999992	R-B/0.000008	R-I/0.000000
型	CHN	土	O/0.999942	O/0.999942	R-B/0.000053	R-I/0.000005
创	CHN	刂	O/0.999909	O/0.999909	R-B/0.000071	R-I/0.000019
口	CHN	口	O/0.999908	O/0.999908	R-B/0.000000	R-I/0.000092
,	PUNC	-	O/0.999997	O/0.999997	R-B/0.000000	R-I/0.000003
边	CHN	辶	O/0.969629	O/0.969629	R-B/0.030340	R-I/0.000031
缘	CHN	纟	O/0.969819	O/0.969819	R-B/0.000003	R-I/0.030178
不	CHN	一	O/0.999980	O/0.999980	R-B/0.000004	R-I/0.000016
齐	CHN	齐	O/0.999898	O/0.999898	R-B/0.000082	R-I/0.000020
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
活	CHN	氵	O/0.999435	O/0.999435	R-B/0.000565	R-I/0.000000
动	CHN	力	O/0.999564	O/0.999564	R-B/0.000007	R-I/0.000430
出	CHN	凵	R-B/0.996596	O/0.003160	R-B/0.996596	R-I/0.000244
血	CHN	血	R-I/0.996764	O/0.003176	R-B/0.000060	R-I/0.996764
,	PUNC	-	O/0.999997	O/0.999997	R-B/0.000000	R-I/0.000003
污	CHN	氵	O/0.999840	O/0.999840	R-B/0.000160	R-I/0.000001
染	CHN	木	O/0.999913	O/0.999913	R-B/0.000026	R-I/0.000062
重	CHN	里	O/0.999944	O/0.999944	R-B/0.000001	R-I/0.000055
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
局	CHN	尸	O/0.989971	O/0.989971	R-B/0.010029	R-I/0.000000
部	CHN	阝	O/0.989951	O/0.989951	R-B/0.000037	R-I/0.010012
青	CHN	青	O/0.994376	O/0.994376	R-B/0.001074	R-I/0.004550
紫	CHN	糸	O/0.994465	O/0.994465	R-B/0.000138	R-I/0.005397
瘀	CHN	疒	R-B/0.957233	O/0.040313	R-B/0.957233	R-I/0.002455
斑	CHN	文	R-I/0.959073	O/0.040894	R-B/0.000032	R-I/0.959073
,	PUNC	-	O/0.985266	O/0.985266	R-B/0.000005	R-I/0.014729
拇	CHN	扌	R-B/0.980635	O/0.004521	R-B/0.980635	R-I/0.014844
指	CHN	扌	R-I/0.995388	O/0.000119	R-B/0.004493	R-I/0.995388
末	CHN	木	R-I/0.999774	O/0.000037	R-B/0.000189	R-I/0.999774
节	CHN	艹	R-I/0.999845	O/0.000148	R-B/0.000007	R-I/0.999845
压	CHN	厂	R-B/0.999525	O/0.000034	R-B/0.999525	R-I/0.000441
痛	CHN	疒	R-I/0.999801	O/0.000196	R-B/0.000003	R-I/0.999801
,	PUNC	-	O/0.999997	O/0.999997	R-B/0.000001	R-I/0.000003
叩	CHN	口	R-B/0.999893	O/0.000106	R-B/0.999893	R-I/0.000000
击	CHN	凵	R-I/0.999885	O/0.000107	R-B/0.000008	R-I/0.999885
痛	CHN	疒	R-I/0.999569	O/0.000424	R-B/0.000008	R-I/0.999569
阳	CHN	阝	O/0.999983	O/0.999983	R-B/0.000003	R-I/0.000013
性	CHN	忄	O/0.999995	O/0.999995	R-B/0.000001	R-I/0.000005
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
可	CHN	口	O/0.999976	O/0.999976	R-B/0.000024	R-I/0.000000
触	CHN	角	O/0.999950	O/0.999950	R-B/0.000029	R-I/0.000021
及	CHN	又	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
骨	CHN	骨	O/0.983964	O/0.983964	R-B/0.016036	R-I/0.000000
擦	CHN	扌	O/0.990208	O/0.990208	R-B/0.000010	R-I/0.009782
感	CHN	心	O/0.995703	O/0.995703	R-B/0.000001	R-I/0.004295
,	PUNC	-	O/0.999789	O/0.999789	R-B/0.000006	R-I/0.000205
左	CHN	工	R-B/0.999672	O/0.000101	R-B/0.999672	R-I/0.000227
手	CHN	手	R-I/0.999871	O/0.000062	R-B/0.000068	R-I/0.999871
拇	CHN	扌	R-I/0.999729	O/0.000073	R-B/0.000199	R-I/0.999729
指	CHN	扌	R-I/0.999351	O/0.000638	R-B/0.000011	R-I/0.999351
运	CHN	辶	O/0.997492	O/0.997492	R-B/0.000002	R-I/0.002506
动	CHN	力	O/0.999674	O/0.999674	R-B/0.000000	R-I/0.000325
功	CHN	力	O/0.999933	O/0.999933	R-B/0.000002	R-I/0.000065
能	CHN	月	O/0.999935	O/0.999935	R-B/0.000051	R-I/0.000014
障	CHN	阝	O/0.999996	O/0.999996	R-B/0.000002	R-I/0.000002
碍	CHN	石	O/0.999986	O/0.999986	R-B/0.000011	R-I/0.000003
,	PUNC	-	O/0.999991	O/0.999991	R-B/0.000007	R-I/0.000002
拇	CHN	扌	R-B/0.996768	O/0.003129	R-B/0.996768	R-I/0.000103
指	CHN	扌	R-I/0.996781	O/0.001553	R-B/0.001666	R-I/0.996781
末	CHN	木	R-I/0.990471	O/0.009456	R-B/0.000073	R-I/0.990471
梢	CHN	木	R-I/0.974608	O/0.025369	R-B/0.000023	R-I/0.974608
血	CHN	血	R-I/0.644057	O/0.355298	R-B/0.000645	R-I/0.644057
运	CHN	辶	O/0.999866	O/0.999866	R-B/0.000000	R-I/0.000133
好	CHN	女	O/0.999995	O/0.999995	R-B/0.000001	R-I/0.000004
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
内	CHN	冂	O/0.991688	O/0.991688	R-B/0.008312	R-I/0.000000
侧	CHN	亻	O/0.991862	O/0.991862	R-B/0.000002	R-I/0.008136
感	CHN	心	O/0.999980	O/0.999980	R-B/0.000000	R-I/0.000019
觉	CHN	见	O/0.999967	O/0.999967	R-B/0.000019	R-I/0.000014
运	CHN	辶	O/0.992302	O/0.992302	R-B/0.007679	R-I/0.000019
动	CHN	力	O/0.991976	O/0.991976	R-B/0.000355	R-I/0.007668
正	CHN	止	O/0.988647	O/0.988647	R-B/0.003361	R-I/0.007992
常	CHN	巾	O/0.660151	O/0.660151	R-B/0.328122	R-I/0.011728
拇	CHN	扌	R-B/0.658839	O/0.001493	R-B/0.658839	R-I/0.339668
指	CHN	扌	R-I/0.998446	O/0.000118	R-B/0.001436	R-I/0.998446
末	CHN	木	R-I/0.999651	O/0.000034	R-B/0.000315	R-I/0.999651
节	CHN	艹	R-I/0.999879	O/0.000119	R-B/0.000002	R-I/0.999879
外	CHN	夕	O/0.815588	O/0.815588	R-B/0.000477	R-I/0.183935
侧	CHN	亻	O/0.845405	O/0.845405	R-B/0.000028	R-I/0.154567
麻	CHN	麻	R-B/0.966032	O/0.003044	R-B/0.966032	R-I/0.030924
木	CHN	木	R-I/0.996904	O/0.003088	R-B/0.000008	R-I/0.996904
感	CHN	心	O/0.996967	O/0.996967	R-B/0.000002	R-I/0.003031
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
5	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
.	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
辅	CHN	车	O/0.999997	O/0.999997	R-B/0.000003	R-I/0.000000
助	CHN	力	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
检	CHN	木	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
查	CHN	木	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
:	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
外	CHN	夕	O/0.995735	O/0.995735	R-B/0.004265	R-I/0.000000
院	CHN	阝	O/0.999967	O/0.999967	R-B/0.000000	R-I/0.000032
自	CHN	自	O/0.999920	O/0.999920	R-B/0.000071	R-I/0.000009
带	CHN	巾	O/0.999918	O/0.999918	R-B/0.000007	R-I/0.000075
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
左	CHN	工	R-B/0.999991	O/0.000004	R-B/0.999991	R-I/0.000005
手	CHN	手	R-I/0.999999	O/0.000000	R-B/0.000000	R-I/0.999999
X	ENG	-	R-I/0.999968	O/0.000000	R-B/0.000032	R-I/0.999968
光	CHN	儿	R-I/0.999907	O/0.000019	R-B/0.000074	R-I/0.999907
片	CHN	片	R-I/0.999827	O/0.000173	R-B/0.000000	R-I/0.999827
示	CHN	示	O/0.999950	O/0.999950	R-B/0.000001	R-I/0.000049
:	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
左	CHN	工	R-B/0.999960	O/0.000038	R-B/0.999960	R-I/0.000002
手	CHN	手	R-I/0.999776	O/0.000001	R-B/0.000223	R-I/0.999776
拇	CHN	扌	R-I/0.999900	O/0.000000	R-B/0.000099	R-I/0.999900
指	CHN	扌	R-I/0.999996	O/0.000000	R-B/0.000004	R-I/0.999996
末	CHN	木	R-I/0.999990	O/0.000001	R-B/0.000009	R-I/0.999990
节	CHN	艹	R-I/0.999967	O/0.000032	R-B/0.000001	R-I/0.999967
骨	CHN	骨	O/0.980576	O/0.980576	R-B/0.000209	R-I/0.019215
质	CHN	贝	O/0.991672	O/0.991672	R-B/0.000004	R-I/0.008325
断	CHN	斤	O/0.999694	O/0.999694	R-B/0.000005	R-I/0.000301
裂	CHN	衣	O/0.997483	O/0.997483	R-B/0.002212	R-I/0.000305
,	PUNC	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
骨	CHN	骨	R-B/0.999725	O/0.000275	R-B/0.999725	R-I/0.000000
折	CHN	扌	R-I/0.996384	O/0.003610	R-B/0.000007	R-I/0.996384
断	CHN	斤	O/0.998266	O/0.998266	R-B/0.000000	R-I/0.001734
端	CHN	立	O/0.999126	O/0.999126	R-B/0.000008	R-I/0.000866
对	CHN	寸	O/0.999957	O/0.999957	R-B/0.000009	R-I/0.000033
位	CHN	亻	O/0.999956	O/0.999956	R-B/0.000003	R-I/0.000040
对	CHN	寸	O/0.999996	O/0.999996	R-B/0.000002	R-I/0.000002
线	CHN	纟	O/0.999990	O/0.999990	R-B/0.000006	R-I/0.000003
可	CHN	口	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000

# 0.113082
1	NUM	-	O/0.999993	O/0.999993	R-B/0.000007	R-I/0.000000
.	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
患	CHN	心	O/0.999944	O/0.999944	R-B/0.000056	R-I/0.000000
者	CHN	耂	O/0.999989	O/0.999989	R-B/0.000001	R-I/0.000011
2	NUM	-	O/0.999994	O/0.999994	R-B/0.000006	R-I/0.000000
小	CHN	小	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
时	CHN	日	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
前	CHN	刂	O/0.999933	O/0.999933	R-B/0.000067	R-I/0.000001
被	CHN	衤	O/0.999811	O/0.999811	R-B/0.000126	R-I/0.000063
他	CHN	亻	O/0.999751	O/0.999751	R-B/0.000080	R-I/0.000169
人	CHN	人	O/0.999997	O/0.999997	R-B/0.000002	R-I/0.000001
拥	CHN	扌	O/0.999996	O/0.999996	R-B/0.000004	R-I/0.000000
倒	CHN	亻	O/0.999971	O/0.999971	R-B/0.000027	R-I/0.000002
于	CHN	二	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
地	CHN	土	O/0.999977	O/0.999977	R-B/0.000022	R-I/0.000001
摔	CHN	扌	O/0.999996	O/0.999996	R-B/0.000003	R-I/0.000001
伤	CHN	亻	O/0.999930	O/0.999930	R-B/0.000069	R-I/0.000001
头	CHN	大	R-B/0.999943	O/0.000051	R-B/0.999943	R-I/0.000006
部	CHN	阝	R-I/0.999863	O/0.000119	R-B/0.000018	R-I/0.999863
及	CHN	又	O/0.999896	O/0.999896	R-B/0.000005	R-I/0.000100
右	CHN	口	R-B/0.999888	O/0.000015	R-B/0.999888	R-I/0.000097
侧	CHN	亻	R-I/0.999987	O/0.000013	R-B/0.000000	R-I/0.999987
肢	CHN	月	R-I/0.999921	O/0.000025	R-B/0.000054	R-I/0.999921
体	CHN	亻	R-I/0.999648	O/0.000351	R-B/0.000000	R-I/0.999648
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
伤	CHN	亻	O/0.999941	O/0.999941	R-B/0.000059	R-I/0.000000
后	CHN	口	O/0.999972	O/0.999972	R-B/0.000019	R-I/0.000009
头	CHN	大	R-B/0.999976	O/0.000024	R-B/0.999976	R-I/0.000001
痛	CHN	疒	R-I/0.997266	O/0.002641	R-B/0.000093	R-I/0.997266
头	CHN	大	R-B/0.916197	O/0.083680	R-B/0.916197	R-I/0.000123
晕	CHN	日	R-I/0.827765	O/0.172062	R-B/0.000174	R-I/0.827765
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
