# 0.000976
①	OTHER	O/0.944913	Bo-B/0.006526	Bo-I/0.006098	Ch-B/0.005691	Ch-I/0.003847	DT-B/0.001284	DT-I/0.001297	O/0.944913	Si-B/0.002545	Si-I/0.001000	Sy-B/0.008803	Sy-I/0.011777	Tr-B/0.001827	Tr-I/0.001805	unct-B/0.001245	unct-I/0.001342
g	ENG	O/0.990893	Bo-B/0.000063	Bo-I/0.000035	Ch-B/0.000120	Ch-I/0.000557	DT-B/0.000037	DT-I/0.000017	O/0.990893	Si-B/0.000481	Si-I/0.000219	Sy-B/0.005259	Sy-I/0.002006	Tr-B/0.000119	Tr-I/0.000053	unct-B/0.000034	unct-I/0.000108
之	CHN	O/0.982610	Bo-B/0.000066	Bo-I/0.000017	Ch-B/0.000052	Ch-I/0.000157	DT-B/0.000016	DT-I/0.000019	O/0.982610	Si-B/0.000223	Si-I/0.000607	Sy-B/0.008733	Sy-I/0.007196	Tr-B/0.000140	Tr-I/0.000100	unct-B/0.000020	unct-I/0.000043
间	CHN	O/0.982119	Bo-B/0.000026	Bo-I/0.000061	Ch-B/0.000044	Ch-I/0.000116	DT-B/0.000016	DT-I/0.000106	O/0.982119	Si-B/0.000028	Si-I/0.000876	Sy-B/0.000110	Sy-I/0.016099	Tr-B/0.000035	Tr-I/0.000246	unct-B/0.000013	unct-I/0.000105
,	PUNC	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
平	CHN	O/0.998543	Bo-B/0.000429	Bo-I/0.000001	Ch-B/0.000404	Ch-I/0.000001	DT-B/0.000016	DT-I/0.000001	O/0.998543	Si-B/0.000072	Si-I/0.000000	Sy-B/0.000107	Sy-I/0.000000	Tr-B/0.000390	Tr-I/0.000003	unct-B/0.000032	unct-I/0.000000
时	CHN	O/0.998504	Bo-B/0.000009	Bo-I/0.000266	Ch-B/0.000021	Ch-I/0.000329	DT-B/0.000002	DT-I/0.000006	O/0.998504	Si-B/0.000024	Si-I/0.000046	Sy-B/0.000049	Sy-I/0.000071	Tr-B/0.000255	Tr-I/0.000402	unct-B/0.000004	unct-I/0.000012
服	CHN	O/0.997663	Bo-B/0.000019	Bo-I/0.000066	Ch-B/0.000069	Ch-I/0.000140	DT-B/0.000005	DT-I/0.000011	O/0.997663	Si-B/0.000082	Si-I/0.000060	Sy-B/0.000264	Sy-I/0.000103	Tr-B/0.000785	Tr-I/0.000702	unct-B/0.000012	unct-I/0.000018
用	CHN	O/0.958205	Bo-B/0.000195	Bo-I/0.000087	Ch-B/0.000795	Ch-I/0.000234	DT-B/0.000121	DT-I/0.000153	O/0.958205	Si-B/0.000999	Si-I/0.000173	Sy-B/0.004496	Sy-I/0.000419	Tr-B/0.031443	Tr-I/0.002349	unct-B/0.000206	unct-I/0.000125
络	CHN	Tr-B/0.902633	Bo-B/0.000151	Bo-I/0.000087	Ch-B/0.001005	Ch-I/0.000761	DT-B/0.000073	DT-I/0.000111	O/0.047963	Si-B/0.001287	Si-I/0.000798	Sy-B/0.003980	Sy-I/0.004390	Tr-B/0.902633	Tr-I/0.036511	unct-B/0.000130	unct-I/0.000121
活	CHN	Tr-I/0.940674	Bo-B/0.000052	Bo-I/0.000180	Ch-B/0.000501	Ch-I/0.001783	DT-B/0.000013	DT-I/0.000070	O/0.040897	Si-B/0.000500	Si-I/0.001975	Sy-B/0.001490	Sy-I/0.008358	Tr-B/0.003370	Tr-I/0.940674	unct-B/0.000026	unct-I/0.000112
喜	CHN	Tr-I/0.938982	Bo-B/0.000042	Bo-I/0.000378	Ch-B/0.000389	Ch-I/0.003041	DT-B/0.000026	DT-I/0.000272	O/0.041684	Si-B/0.000366	Si-I/0.002949	Sy-B/0.000585	Sy-I/0.010569	Tr-B/0.000392	Tr-I/0.938982	unct-B/0.000038	unct-I/0.000287
降	CHN	Tr-I/0.856697	Bo-B/0.000276	Bo-I/0.000441	Ch-B/0.000987	Ch-I/0.007996	DT-B/0.000133	DT-I/0.002768	O/0.103106	Si-B/0.000091	Si-I/0.006272	Sy-B/0.000613	Sy-I/0.013951	Tr-B/0.005127	Tr-I/0.856697	unct-B/0.000089	unct-I/0.001452
压	CHN	Tr-I/0.852192	Bo-B/0.000066	Bo-I/0.000865	Ch-B/0.000082	Ch-I/0.010547	DT-B/0.000052	DT-I/0.004395	O/0.107964	Si-B/0.000035	Si-I/0.007302	Sy-B/0.000130	Sy-I/0.014719	Tr-B/0.000031	Tr-I/0.852192	unct-B/0.000068	unct-I/0.001552
”	PUNC	O/0.999178	Bo-B/0.000004	Bo-I/0.000015	Ch-B/0.000003	Ch-I/0.000003	DT-B/0.000002	DT-I/0.000003	O/0.999178	Si-B/0.000001	Si-I/0.000004	Sy-B/0.000002	Sy-I/0.000027	Tr-B/0.000001	Tr-I/0.000702	unct-B/0.000002	unct-I/0.000054
。	PUNC	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
查	CHN	O/0.998388	Bo-B/0.000251	Bo-I/0.000000	Ch-B/0.001070	Ch-I/0.000004	DT-B/0.000019	DT-I/0.000001	O/0.998388	Si-B/0.000016	Si-I/0.000000	Sy-B/0.000153	Sy-I/0.000000	Tr-B/0.000075	Tr-I/0.000000	unct-B/0.000022	unct-I/0.000001
体	CHN	O/0.997374	Bo-B/0.000024	Bo-I/0.000173	Ch-B/0.000719	Ch-I/0.001182	DT-B/0.000014	DT-I/0.000091	O/0.997374	Si-B/0.000025	Si-I/0.000027	Sy-B/0.000063	Sy-I/0.000147	Tr-B/0.000030	Tr-I/0.000084	unct-B/0.000012	unct-I/0.000034
:	PUNC	O/0.999736	Bo-B/0.000002	Bo-I/0.000001	Ch-B/0.000050	Ch-I/0.000188	DT-B/0.000001	DT-I/0.000001	O/0.999736	Si-B/0.000003	Si-I/0.000001	Sy-B/0.000008	Sy-I/0.000002	Tr-B/0.000003	Tr-I/0.000002	unct-B/0.000001	unct-I/0.000001
T	ENG	Ch-B/0.834193	Bo-B/0.000346	Bo-I/0.000041	Ch-B/0.834193	Ch-I/0.001079	DT-B/0.000195	DT-I/0.000028	O/0.162396	Si-B/0.000298	Si-I/0.000010	Sy-B/0.000522	Sy-I/0.000005	Tr-B/0.000247	Tr-I/0.000018	unct-B/0.000609	unct-I/0.000012
:	PUNC	O/0.999790	Bo-B/0.000007	Bo-I/0.000022	Ch-B/0.000002	Ch-I/0.000146	DT-B/0.000002	DT-I/0.000004	O/0.999790	Si-B/0.000001	Si-I/0.000002	Sy-B/0.000002	Sy-I/0.000011	Tr-B/0.000001	Tr-I/0.000004	unct-B/0.000002	unct-I/0.000003
3	NUM	O/0.999936	Bo-B/0.000007	Bo-I/0.000008	Ch-B/0.000010	Ch-I/0.000003	DT-B/0.000005	DT-I/0.000000	O/0.999936	Si-B/0.000004	Si-I/0.000001	Sy-B/0.000015	Sy-I/0.000005	Tr-B/0.000004	Tr-I/0.000001	unct-B/0.000002	unct-I/0.000000
6	NUM	O/0.999963	Bo-B/0.000004	Bo-I/0.000006	Ch-B/0.000006	Ch-I/0.000001	DT-B/0.000001	DT-I/0.000000	O/0.999963	Si-B/0.000002	Si-I/0.000001	Sy-B/0.000007	Sy-I/0.000008	Tr-B/0.000002	Tr-I/0.000000	unct-B/0.000001	unct-I/0.000000
.	PUNC	O/0.999927	Bo-B/0.000006	Bo-I/0.000007	Ch-B/0.000017	Ch-I/0.000001	DT-B/0.000001	DT-I/0.000000	O/0.999927	Si-B/0.000007	Si-I/0.000001	Sy-B/0.000021	Sy-I/0.000007	Tr-B/0.000004	Tr-I/0.000000	unct-B/0.000001	unct-I/0.000000
5	NUM	O/0.999803	Bo-B/0.000009	Bo-I/0.000011	Ch-B/0.000027	Ch-I/0.000006	DT-B/0.000010	DT-I/0.000001	O/0.999803	Si-B/0.000042	Si-I/0.000004	Sy-B/0.000048	Sy-I/0.000025	Tr-B/0.000009	Tr-I/0.000001	unct-B/0.000003	unct-I/0.000000
℃	OTHER	O/0.999885	Bo-B/0.000006	Bo-I/0.000003	Ch-B/0.000013	Ch-I/0.000003	DT-B/0.000002	DT-I/0.000001	O/0.999885	Si-B/0.000005	Si-I/0.000011	Sy-B/0.000011	Sy-I/0.000052	Tr-B/0.000005	Tr-I/0.000001	unct-B/0.000002	unct-I/0.000001
,	PUNC	O/0.999877	Bo-B/0.000004	Bo-I/0.000000	Ch-B/0.000030	Ch-I/0.000001	DT-B/0.000003	DT-I/0.000000	O/0.999877	Si-B/0.000011	Si-I/0.000001	Sy-B/0.000053	Sy-I/0.000002	Tr-B/0.000011	Tr-I/0.000001	unct-B/0.000003	unct-I/0.000000
P	ENG	Ch-B/0.984778	Bo-B/0.000102	Bo-I/0.000006	Ch-B/0.984778	Ch-I/0.000086	DT-B/0.000036	DT-I/0.000005	O/0.014712	Si-B/0.000070	Si-I/0.000003	Sy-B/0.000100	Sy-I/0.000002	Tr-B/0.000044	Tr-I/0.000003	unct-B/0.000052	unct-I/0.000002
:	PUNC	O/0.997892	Bo-B/0.000022	Bo-I/0.000098	Ch-B/0.000015	Ch-I/0.001845	DT-B/0.000012	DT-I/0.000016	O/0.997892	Si-B/0.000007	Si-I/0.000012	Sy-B/0.000006	Sy-I/0.000022	Tr-B/0.000008	Tr-I/0.000025	unct-B/0.000009	unct-I/0.000012
7	NUM	O/0.999942	Bo-B/0.000002	Bo-I/0.000012	Ch-B/0.000007	Ch-I/0.000020	DT-B/0.000002	DT-I/0.000000	O/0.999942	Si-B/0.000002	Si-I/0.000001	Sy-B/0.000004	Sy-I/0.000003	Tr-B/0.000002	Tr-I/0.000001	unct-B/0.000001	unct-I/0.000000
0	NUM	O/0.999968	Bo-B/0.000003	Bo-I/0.000001	Ch-B/0.000005	Ch-I/0.000001	DT-B/0.000002	DT-I/0.000000	O/0.999968	Si-B/0.000010	Si-I/0.000001	Sy-B/0.000004	Sy-I/0.000001	Tr-B/0.000003	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
次	CHN	O/0.999872	Bo-B/0.000010	Bo-I/0.000007	Ch-B/0.000027	Ch-I/0.000004	DT-B/0.000006	DT-I/0.000008	O/0.999872	Si-B/0.000012	Si-I/0.000015	Sy-B/0.000017	Sy-I/0.000003	Tr-B/0.000009	Tr-I/0.000004	unct-B/0.000004	unct-I/0.000002
/	PUNC	O/0.999996	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999996	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000004	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
分	CHN	O/0.999801	Bo-B/0.000030	Bo-I/0.000001	Ch-B/0.000037	Ch-I/0.000000	DT-B/0.000013	DT-I/0.000004	O/0.999801	Si-B/0.000019	Si-I/0.000003	Sy-B/0.000052	Sy-I/0.000009	Tr-B/0.000018	Tr-I/0.000002	unct-B/0.000009	unct-I/0.000002
,	PUNC	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
呼	CHN	Ch-B/0.993813	Bo-B/0.000239	Bo-I/0.000000	Ch-B/0.993813	Ch-I/0.000037	DT-B/0.000031	DT-I/0.000003	O/0.005614	Si-B/0.000049	Si-I/0.000000	Sy-B/0.000069	Sy-I/0.000000	Tr-B/0.000103	Tr-I/0.000001	unct-B/0.000041	unct-I/0.000001
吸	CHN	Ch-I/0.994391	Bo-B/0.000003	Bo-I/0.000066	Ch-B/0.000007	Ch-I/0.994391	DT-B/0.000002	DT-I/0.000041	O/0.005309	Si-B/0.000002	Si-I/0.000057	Sy-B/0.000012	Sy-I/0.000033	Tr-B/0.000003	Tr-I/0.000065	unct-B/0.000002	unct-I/0.000009
:	PUNC	O/0.999967	Bo-B/0.000001	Bo-I/0.000002	Ch-B/0.000001	Ch-I/0.000028	DT-B/0.000000	DT-I/0.000000	O/0.999967	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
1	NUM	O/0.999958	Bo-B/0.000004	Bo-I/0.000002	Ch-B/0.000013	Ch-I/0.000001	DT-B/0.000003	DT-I/0.000000	O/0.999958	Si-B/0.000006	Si-I/0.000000	Sy-B/0.000008	Sy-I/0.000001	Tr-B/0.000003	Tr-I/0.000000	unct-B/0.000001	unct-I/0.000000
8	NUM	O/0.999951	Bo-B/0.000003	Bo-I/0.000001	Ch-B/0.000007	Ch-I/0.000001	DT-B/0.000003	DT-I/0.000000	O/0.999951	Si-B/0.000019	Si-I/0.000003	Sy-B/0.000005	Sy-I/0.000002	Tr-B/0.000004	Tr-I/0.000000	unct-B/0.000001	unct-I/0.000000
次	CHN	O/0.999839	Bo-B/0.000012	Bo-I/0.000006	Ch-B/0.000032	Ch-I/0.000005	DT-B/0.000006	DT-I/0.000010	O/0.999839	Si-B/0.000014	Si-I/0.000027	Sy-B/0.000021	Sy-I/0.000004	Tr-B/0.000011	Tr-I/0.000006	unct-B/0.000005	unct-I/0.000002
/	PUNC	O/0.999996	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999996	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000004	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
分	CHN	O/0.999799	Bo-B/0.000030	Bo-I/0.000001	Ch-B/0.000037	Ch-I/0.000000	DT-B/0.000013	DT-I/0.000004	O/0.999799	Si-B/0.000020	Si-I/0.000003	Sy-B/0.000053	Sy-I/0.000009	Tr-B/0.000018	Tr-I/0.000002	unct-B/0.000009	unct-I/0.000002
,	PUNC	O/0.999981	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999981	Si-B/0.000018	Si-I/0.000001	Sy-B/0.000001	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
血	CHN	Ch-B/0.979993	Bo-B/0.000416	Bo-I/0.000000	Ch-B/0.979993	Ch-I/0.000144	DT-B/0.000054	DT-I/0.000005	O/0.000577	Si-B/0.000183	Si-I/0.017892	Sy-B/0.000435	Sy-I/0.000000	Tr-B/0.000217	Tr-I/0.000001	unct-B/0.000082	unct-I/0.000002
压	CHN	Ch-I/0.980172	Bo-B/0.000003	Bo-I/0.000148	Ch-B/0.000006	Ch-I/0.980172	DT-B/0.000002	DT-I/0.000077	O/0.000581	Si-B/0.000001	Si-I/0.018547	Sy-B/0.000005	Sy-I/0.000285	Tr-B/0.000001	Tr-I/0.000148	unct-B/0.000003	unct-I/0.000023
:	PUNC	O/0.999967	Bo-B/0.000000	Bo-I/0.000002	Ch-B/0.000001	Ch-I/0.000023	DT-B/0.000000	DT-I/0.000000	O/0.999967	Si-B/0.000000	Si-I/0.000004	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
1	NUM	O/0.999991	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000002	Ch-I/0.000000	DT-B/0.000001	DT-I/0.000000	O/0.999991	Si-B/0.000001	Si-I/0.000000	Sy-B/0.000003	Sy-I/0.000000	Tr-B/0.000001	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
3	NUM	O/0.999953	Bo-B/0.000006	Bo-I/0.000002	Ch-B/0.000009	Ch-I/0.000000	DT-B/0.000004	DT-I/0.000000	O/0.999953	Si-B/0.000005	Si-I/0.000001	Sy-B/0.000012	Sy-I/0.000002	Tr-B/0.000004	Tr-I/0.000000	unct-B/0.000001	unct-I/0.000000
7	NUM	O/0.999951	Bo-B/0.000004	Bo-I/0.000005	Ch-B/0.000008	Ch-I/0.000001	DT-B/0.000002	DT-I/0.000000	O/0.999951	Si-B/0.000004	Si-I/0.000002	Sy-B/0.000012	Sy-I/0.000008	Tr-B/0.000003	Tr-I/0.000000	unct-B/0.000001	unct-I/0.000000
/	PUNC	O/0.999947	Bo-B/0.000004	Bo-I/0.000005	Ch-B/0.000010	Ch-I/0.000002	DT-B/0.000002	DT-I/0.000000	O/0.999947	Si-B/0.000004	Si-I/0.000002	Sy-B/0.000006	Sy-I/0.000012	Tr-B/0.000004	Tr-I/0.000001	unct-B/0.000001	unct-I/0.000000
7	NUM	O/0.999975	Bo-B/0.000002	Bo-I/0.000002	Ch-B/0.000003	Ch-I/0.000001	DT-B/0.000002	DT-I/0.000000	O/0.999975	Si-B/0.000002	Si-I/0.000001	Sy-B/0.000005	Sy-I/0.000004	Tr-B/0.000002	Tr-I/0.000000	unct-B/0.000001	unct-I/0.000000
6	NUM	O/0.999953	Bo-B/0.000005	Bo-I/0.000002	Ch-B/0.000008	Ch-I/0.000001	DT-B/0.000002	DT-I/0.000000	O/0.999953	Si-B/0.000004	Si-I/0.000000	Sy-B/0.000013	Sy-I/0.000006	Tr-B/0.000004	Tr-I/0.000000	unct-B/0.000001	unct-I/0.000000
m	ENG	O/0.999848	Bo-B/0.000011	Bo-I/0.000003	Ch-B/0.000037	Ch-I/0.000002	DT-B/0.000006	DT-I/0.000001	O/0.999848	Si-B/0.000019	Si-I/0.000002	Sy-B/0.000026	Sy-I/0.000013	Tr-B/0.000012	Tr-I/0.000001	unct-B/0.000014	unct-I/0.000005
m	ENG	O/0.999756	Bo-B/0.000011	Bo-I/0.000005	Ch-B/0.000083	Ch-I/0.000021	DT-B/0.000006	DT-I/0.000002	O/0.999756	Si-B/0.000020	Si-I/0.000008	Sy-B/0.000019	Sy-I/0.000025	Tr-B/0.000012	Tr-I/0.000005	unct-B/0.000009	unct-I/0.000017
H	ENG	O/0.999740	Bo-B/0.000013	Bo-I/0.000005	Ch-B/0.000038	Ch-I/0.000094	DT-B/0.000005	DT-I/0.000002	O/0.999740	Si-B/0.000016	Si-I/0.000012	Sy-B/0.000022	Sy-I/0.000020	Tr-B/0.000011	Tr-I/0.000005	unct-B/0.000006	unct-I/0.000012
g	ENG	O/0.999704	Bo-B/0.000017	Bo-I/0.000009	Ch-B/0.000047	Ch-I/0.000094	DT-B/0.000009	DT-I/0.000002	O/0.999704	Si-B/0.000019	Si-I/0.000014	Sy-B/0.000019	Sy-I/0.000025	Tr-B/0.000014	Tr-I/0.000007	unct-B/0.000007	unct-I/0.000014
。	PUNC	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
神	CHN	O/0.997750	Bo-B/0.000792	Bo-I/0.000004	Ch-B/0.000943	Ch-I/0.000003	DT-B/0.000057	DT-I/0.000003	O/0.997750	Si-B/0.000095	Si-I/0.000001	Sy-B/0.000112	Sy-I/0.000001	Tr-B/0.000148	Tr-I/0.000001	unct-B/0.000091	unct-I/0.000001
志	CHN	O/0.998597	Bo-B/0.000004	Bo-I/0.000466	Ch-B/0.000011	Ch-I/0.000654	DT-B/0.000002	DT-I/0.000010	O/0.998597	Si-B/0.000009	Si-I/0.000047	Sy-B/0.000006	Sy-I/0.000071	Tr-B/0.000015	Tr-I/0.000087	unct-B/0.000002	unct-I/0.000018
清	CHN	O/0.999722	Bo-B/0.000004	Bo-I/0.000013	Ch-B/0.000003	Ch-I/0.000106	DT-B/0.000001	DT-I/0.000004	O/0.999722	Si-B/0.000004	Si-I/0.000029	Sy-B/0.000044	Sy-I/0.000014	Tr-B/0.000014	Tr-I/0.000034	unct-B/0.000001	unct-I/0.000007
楚	CHN	O/0.999757	Bo-B/0.000005	Bo-I/0.000005	Ch-B/0.000009	Ch-I/0.000016	DT-B/0.000003	DT-I/0.000016	O/0.999757	Si-B/0.000005	Si-I/0.000040	Sy-B/0.000024	Sy-I/0.000056	Tr-B/0.000007	Tr-I/0.000040	unct-B/0.000002	unct-I/0.000015
,	PUNC	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
言	CHN	O/0.997760	Bo-B/0.000906	Bo-I/0.000003	Ch-B/0.000564	Ch-I/0.000001	DT-B/0.000035	DT-I/0.000002	O/0.997760	Si-B/0.000202	Si-I/0.000001	Sy-B/0.000277	Sy-I/0.000001	Tr-B/0.000178	Tr-I/0.000001	unct-B/0.000067	unct-I/0.000001
语	CHN	O/0.998418	Bo-B/0.000004	Bo-I/0.000532	Ch-B/0.000015	Ch-I/0.000355	DT-B/0.000002	DT-I/0.000009	O/0.998418	Si-B/0.000031	Si-I/0.000151	Sy-B/0.000051	Sy-I/0.000242	Tr-B/0.000037	Tr-I/0.000131	unct-B/0.000003	unct-I/0.000020
清	CHN	O/0.998696	Bo-B/0.000015	Bo-I/0.000035	Ch-B/0.000012	Ch-I/0.000106	DT-B/0.000003	DT-I/0.000012	O/0.998696	Si-B/0.000024	Si-I/0.000163	Sy-B/0.000461	Sy-I/0.000249	Tr-B/0.000073	Tr-I/0.000123	unct-B/0.000004	unct-I/0.000022
晰	CHN	O/0.998583	Bo-B/0.000014	Bo-I/0.000022	Ch-B/0.000023	Ch-I/0.000041	DT-B/0.000008	DT-I/0.000049	O/0.998583	Si-B/0.000014	Si-I/0.000209	Sy-B/0.000065	Sy-I/0.000714	Tr-B/0.000017	Tr-I/0.000186	unct-B/0.000007	unct-I/0.000047
,	PUNC	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
双	CHN	Ch-B/0.980842	Bo-B/0.014096	Bo-I/0.000000	Ch-B/0.980842	Ch-I/0.000091	DT-B/0.000107	DT-I/0.000006	O/0.001650	Si-B/0.000716	Si-I/0.000001	Sy-B/0.002119	Sy-I/0.000000	Tr-B/0.000182	Tr-I/0.000001	unct-B/0.000185	unct-I/0.000003
侧	CHN	Ch-I/0.987760	Bo-B/0.000004	Bo-I/0.008547	Ch-B/0.000407	Ch-I/0.987760	DT-B/0.000004	DT-I/0.000033	O/0.001425	Si-B/0.000004	Si-I/0.000267	Sy-B/0.000004	Sy-I/0.001431	Tr-B/0.000010	Tr-I/0.000046	unct-B/0.000006	unct-I/0.000052
瞳	CHN	Ch-I/0.990493	Bo-B/0.000011	Bo-I/0.006027	Ch-B/0.000223	Ch-I/0.990493	DT-B/0.000002	DT-I/0.000022	O/0.001755	Si-B/0.000003	Si-I/0.000177	Sy-B/0.000009	Sy-I/0.001204	Tr-B/0.000009	Tr-I/0.000036	unct-B/0.000003	unct-I/0.000026
孔	CHN	Ch-I/0.986351	Bo-B/0.000013	Bo-I/0.005064	Ch-B/0.000004	Ch-I/0.986351	DT-B/0.000006	DT-I/0.000073	O/0.007056	Si-B/0.000005	Si-I/0.000159	Sy-B/0.000002	Sy-I/0.001137	Tr-B/0.000008	Tr-I/0.000070	unct-B/0.000007	unct-I/0.000043
等	CHN	O/0.992467	Bo-B/0.000013	Bo-I/0.000433	Ch-B/0.000003	Ch-I/0.006814	DT-B/0.000004	DT-I/0.000045	O/0.992467	Si-B/0.000006	Si-I/0.000026	Sy-B/0.000011	Sy-I/0.000084	Tr-B/0.000009	Tr-I/0.000041	unct-B/0.000006	unct-I/0.000037
大	CHN	O/0.998940	Bo-B/0.000005	Bo-I/0.000087	Ch-B/0.000015	Ch-I/0.000668	DT-B/0.000002	DT-I/0.000012	O/0.998940	Si-B/0.000021	Si-I/0.000021	Sy-B/0.000059	Sy-I/0.000083	Tr-B/0.000039	Tr-I/0.000024	unct-B/0.000003	unct-I/0.000022
同	CHN	O/0.998709	Bo-B/0.000009	Bo-I/0.000004	Ch-B/0.000007	Ch-I/0.000093	DT-B/0.000002	DT-I/0.000008	O/0.998709	Si-B/0.000012	Si-I/0.000031	Sy-B/0.000878	Sy-I/0.000127	Tr-B/0.000050	Tr-I/0.000050	unct-B/0.000003	unct-I/0.000018
圆	CHN	O/0.998173	Bo-B/0.000027	Bo-I/0.000016	Ch-B/0.000045	Ch-I/0.000050	DT-B/0.000015	DT-I/0.000081	O/0.998173	Si-B/0.000027	Si-I/0.000083	Sy-B/0.000130	Sy-I/0.001109	Tr-B/0.000034	Tr-I/0.000130	unct-B/0.000013	unct-I/0.000066
,	PUNC	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
直	CHN	O/0.962268	Bo-B/0.001442	Bo-I/0.000001	Ch-B/0.015953	Ch-I/0.000006	DT-B/0.000116	DT-I/0.000016	O/0.962268	Si-B/0.000287	Si-I/0.000002	Sy-B/0.018404	Sy-I/0.000003	Tr-B/0.001323	Tr-I/0.000036	unct-B/0.000140	unct-I/0.000003
径	CHN	O/0.963468	Bo-B/0.000051	Bo-I/0.001011	Ch-B/0.000627	Ch-I/0.014940	DT-B/0.000023	DT-I/0.000219	O/0.963468	Si-B/0.000150	Si-I/0.000278	Sy-B/0.000049	Sy-I/0.017498	Tr-B/0.000046	Tr-I/0.001532	unct-B/0.000019	unct-I/0.000088
2	NUM	O/0.997653	Bo-B/0.000004	Bo-I/0.000081	Ch-B/0.000003	Ch-I/0.000052	DT-B/0.000002	DT-I/0.000001	O/0.997653	Si-B/0.000002	Si-I/0.000022	Sy-B/0.000006	Sy-I/0.002159	Tr-B/0.000001	Tr-I/0.000011	unct-B/0.000001	unct-I/0.000001
.	PUNC	O/0.999049	Bo-B/0.000006	Bo-I/0.000023	Ch-B/0.000035	Ch-I/0.000002	DT-B/0.000002	DT-I/0.000000	O/0.999049	Si-B/0.000009	Si-I/0.000005	Sy-B/0.000037	Sy-I/0.000825	Tr-B/0.000004	Tr-I/0.000001	unct-B/0.000001	unct-I/0.000000
5	NUM	O/0.999079	Bo-B/0.000011	Bo-I/0.000015	Ch-B/0.000041	Ch-I/0.000016	DT-B/0.000009	DT-I/0.000001	O/0.999079	Si-B/0.000062	Si-I/0.000008	Sy-B/0.000068	Sy-I/0.000672	Tr-B/0.000011	Tr-I/0.000001	unct-B/0.000004	unct-I/0.000001
