# 0.264281
①	OTHER	O	O/0.997338	Bo-B/0.000123	Bo-I/0.000127	Ch-B/0.000145	Ch-I/0.000099	O/0.997338	Si-B/0.000379	Si-I/0.000149	Sy-B/0.000947	Sy-I/0.000357	Tr-B/0.000189	Tr-I/0.000147
7	NUM	O	O/0.999996	Bo-B/0.000000	Bo-I/0.000001	Ch-B/0.000000	Ch-I/0.000000	O/0.999996	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000001	Tr-I/0.000000
/	PUNC	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
7	NUM	O	O/0.999997	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000000	O/0.999997	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
6	NUM	O	O/0.999995	Bo-B/0.000001	Bo-I/0.000001	Ch-B/0.000001	Ch-I/0.000000	O/0.999995	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000001	Tr-I/0.000001
m	ENG	O	O/0.999989	Bo-B/0.000001	Bo-I/0.000001	Ch-B/0.000005	Ch-I/0.000000	O/0.999989	Si-B/0.000001	Si-I/0.000001	Sy-B/0.000001	Sy-I/0.000001	Tr-B/0.000001	Tr-I/0.000001
m	ENG	O	O/0.999991	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000003	Ch-I/0.000001	O/0.999991	Si-B/0.000001	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000000	Tr-B/0.000001	Tr-I/0.000001
H	ENG	O	O/0.999991	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000002	Ch-I/0.000001	O/0.999991	Si-B/0.000001	Si-I/0.000001	Sy-B/0.000001	Sy-I/0.000001	Tr-B/0.000001	Tr-I/0.000001
g	ENG	O	O/0.999988	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000006	Ch-I/0.000001	O/0.999988	Si-B/0.000001	Si-I/0.000001	Sy-B/0.000001	Sy-I/0.000001	Tr-B/0.000002	Tr-I/0.000001
。	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
神	CHN	O	O/0.999998	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
志	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
清	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
楚	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
,	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
言	CHN	O	O/0.999998	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
语	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
清	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
晰	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
,	PUNC	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
双	CHN	R-B	Bo-B/0.999722	Bo-B/0.999722	Bo-I/0.000003	Ch-B/0.000159	Ch-I/0.000000	O/0.000001	Si-B/0.000025	Si-I/0.000000	Sy-B/0.000012	Sy-I/0.000000	Tr-B/0.000078	Tr-I/0.000000
侧	CHN	R-I	Bo-I/0.999784	Bo-B/0.000010	Bo-I/0.999784	Ch-B/0.000000	Ch-I/0.000121	O/0.000000	Si-B/0.000000	Si-I/0.000014	Sy-B/0.000000	Sy-I/0.000005	Tr-B/0.000000	Tr-I/0.000066
瞳	CHN	R-I	Bo-I/0.999762	Bo-B/0.000009	Bo-I/0.999762	Ch-B/0.000000	Ch-I/0.000117	O/0.000000	Si-B/0.000000	Si-I/0.000018	Sy-B/0.000000	Sy-I/0.000007	Tr-B/0.000000	Tr-I/0.000085
孔	CHN	R-I	Bo-I/0.999709	Bo-B/0.000002	Bo-I/0.999709	Ch-B/0.000001	Ch-I/0.000119	O/0.000009	Si-B/0.000001	Si-I/0.000027	Sy-B/0.000002	Sy-I/0.000017	Tr-B/0.000001	Tr-I/0.000110
等	CHN	O	O/0.999987	Bo-B/0.000000	Bo-I/0.000011	Ch-B/0.000000	Ch-I/0.000000	O/0.999987	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
大	CHN	O	O/0.999999	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
同	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
圆	CHN	O	O/0.999997	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999997	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000002	Tr-B/0.000000	Tr-I/0.000000
,	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
直	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
径	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
2	NUM	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
.	PUNC	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
5	NUM	O	O/0.999995	Bo-B/0.000001	Bo-I/0.000001	Ch-B/0.000001	Ch-I/0.000000	O/0.999995	Si-B/0.000001	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
m	ENG	O	O/0.999992	Bo-B/0.000001	Bo-I/0.000001	Ch-B/0.000002	Ch-I/0.000000	O/0.999992	Si-B/0.000001	Si-I/0.000001	Sy-B/0.000001	Sy-I/0.000001	Tr-B/0.000001	Tr-I/0.000001
m	ENG	O	O/0.999990	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000004	Ch-I/0.000001	O/0.999990	Si-B/0.000001	Si-I/0.000001	Sy-B/0.000000	Sy-I/0.000001	Tr-B/0.000001	Tr-I/0.000001
,	PUNC	O	O/0.999997	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000000	O/0.999997	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
对	CHN	R-B	Ch-B/0.999822	Bo-B/0.000021	Bo-I/0.000000	Ch-B/0.999822	Ch-I/0.000006	O/0.000001	Si-B/0.000019	Si-I/0.000000	Sy-B/0.000019	Sy-I/0.000000	Tr-B/0.000112	Tr-I/0.000000
光	CHN	R-I	Ch-I/0.999893	Bo-B/0.000000	Bo-I/0.000013	Ch-B/0.000004	Ch-I/0.999893	O/0.000000	Si-B/0.000000	Si-I/0.000007	Sy-B/0.000000	Sy-I/0.000006	Tr-B/0.000000	Tr-I/0.000077
反	CHN	R-I	Ch-I/0.999900	Bo-B/0.000000	Bo-I/0.000013	Ch-B/0.000002	Ch-I/0.999900	O/0.000000	Si-B/0.000000	Si-I/0.000008	Sy-B/0.000000	Sy-I/0.000004	Tr-B/0.000000	Tr-I/0.000072
射	CHN	R-I	Ch-I/0.999763	Bo-B/0.000004	Bo-I/0.000057	Ch-B/0.000001	Ch-I/0.999763	O/0.000011	Si-B/0.000002	Si-I/0.000029	Sy-B/0.000002	Sy-I/0.000020	Tr-B/0.000001	Tr-I/0.000109
灵	CHN	O	O/0.999994	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000004	O/0.999994	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
敏	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
,	PUNC	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
双	CHN	R-B	Bo-B/0.999347	Bo-B/0.999347	Bo-I/0.000003	Ch-B/0.000390	Ch-I/0.000000	O/0.000001	Si-B/0.000020	Si-I/0.000000	Sy-B/0.000201	Sy-I/0.000000	Tr-B/0.000039	Tr-I/0.000000
眼	CHN	R-I	Bo-I/0.999316	Bo-B/0.000007	Bo-I/0.999316	Ch-B/0.000000	Ch-I/0.000365	O/0.000009	Si-B/0.000001	Si-I/0.000014	Sy-B/0.000001	Sy-I/0.000256	Tr-B/0.000001	Tr-I/0.000029
各	CHN	O	O/0.999988	Bo-B/0.000001	Bo-I/0.000011	Ch-B/0.000000	Ch-I/0.000000	O/0.999988	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
向	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
活	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
动	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
不	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
受	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
限	CHN	O	O/0.999998	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000001	Tr-B/0.000000	Tr-I/0.000000
,	PUNC	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
双	CHN	R-B	Bo-B/0.999603	Bo-B/0.999603	Bo-I/0.000005	Ch-B/0.000197	Ch-I/0.000000	O/0.000001	Si-B/0.000035	Si-I/0.000000	Sy-B/0.000018	Sy-I/0.000000	Tr-B/0.000140	Tr-I/0.000000
侧	CHN	R-I	Bo-I/0.999689	Bo-B/0.000015	Bo-I/0.999689	Ch-B/0.000000	Ch-I/0.000143	O/0.000000	Si-B/0.000000	Si-I/0.000019	Sy-B/0.000000	Sy-I/0.000009	Tr-B/0.000000	Tr-I/0.000125
鼻	CHN	R-I	Bo-I/0.999690	Bo-B/0.000020	Bo-I/0.999690	Ch-B/0.000000	Ch-I/0.000128	O/0.000000	Si-B/0.000000	Si-I/0.000018	Sy-B/0.000000	Sy-I/0.000008	Tr-B/0.000000	Tr-I/0.000135
唇	CHN	R-I	Bo-I/0.999696	Bo-B/0.000007	Bo-I/0.999696	Ch-B/0.000000	Ch-I/0.000121	O/0.000000	Si-B/0.000000	Si-I/0.000018	Sy-B/0.000000	Sy-I/0.000007	Tr-B/0.000000	Tr-I/0.000150
沟	CHN	R-I	Bo-I/0.999537	Bo-B/0.000011	Bo-I/0.999537	Ch-B/0.000001	Ch-I/0.000129	O/0.000025	Si-B/0.000002	Si-I/0.000038	Sy-B/0.000003	Sy-I/0.000043	Tr-B/0.000002	Tr-I/0.000208
对	CHN	O	O/0.999990	Bo-B/0.000000	Bo-I/0.000006	Ch-B/0.000000	Ch-I/0.000000	O/0.999990	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000004	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
称	CHN	O	O/0.999998	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000001	Tr-B/0.000000	Tr-I/0.000000
,	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
口	CHN	O	O/0.999996	Bo-B/0.000003	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999996	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
角	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
无	CHN	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
歪	CHN	O	O/0.999998	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000002	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
斜	CHN	O	O/0.999998	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000001	Tr-B/0.000000	Tr-I/0.000000
,	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
双	CHN	O	O/0.999997	Bo-B/0.000003	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999997	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
侧	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
软	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
腭	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
抬	CHN	O	O/0.999999	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
举	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
对	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
称	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
有	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
力	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
,	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
伸	CHN	O	O/0.999965	Bo-B/0.000024	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000000	O/0.999965	Si-B/0.000002	Si-I/0.000001	Sy-B/0.000001	Sy-I/0.000001	Tr-B/0.000003	Tr-I/0.000001
舌	CHN	R-B	Bo-B/0.998696	Bo-B/0.998696	Bo-I/0.000002	Ch-B/0.000565	Ch-I/0.000002	O/0.000192	Si-B/0.000073	Si-I/0.000006	Sy-B/0.000232	Sy-I/0.000010	Tr-B/0.000216	Tr-I/0.000005
居	CHN	O	O/0.999973	Bo-B/0.000003	Bo-I/0.000020	Ch-B/0.000000	Ch-I/0.000000	O/0.999973	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000002	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
中	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
。	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
颈	CHN	O	O/0.999995	Bo-B/0.000004	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999995	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
软	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
、	PUNC	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
无	CHN	O	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
抵	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
抗	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
。	PUNC	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
四	CHN	R-B	Bo-B/0.999907	Bo-B/0.999907	Bo-I/0.000001	Ch-B/0.000034	Ch-I/0.000000	O/0.000000	Si-B/0.000010	Si-I/0.000000	Sy-B/0.000028	Sy-I/0.000000	Tr-B/0.000020	Tr-I/0.000000
肢	CHN	R-I	Bo-I/0.999904	Bo-B/0.000005	Bo-I/0.999904	Ch-B/0.000000	Ch-I/0.000023	O/0.000011	Si-B/0.000001	Si-I/0.000005	Sy-B/0.000001	Sy-I/0.000037	Tr-B/0.000001	Tr-I/0.000010
肌	CHN	R-B	Ch-B/0.999729	Bo-B/0.000008	Bo-I/0.000001	Ch-B/0.999729	Ch-I/0.000000	O/0.000001	Si-B/0.000018	Si-I/0.000000	Sy-B/0.000235	Sy-I/0.000000	Tr-B/0.000007	Tr-I/0.000000
力	CHN	R-I	Ch-I/0.999695	Bo-B/0.000000	Bo-I/0.000009	Ch-B/0.000000	Ch-I/0.999695	O/0.000002	Si-B/0.000000	Si-I/0.000014	Sy-B/0.000001	Sy-I/0.000274	Tr-B/0.000000	Tr-I/0.000004
5	NUM	O	O/0.999991	Bo-B/0.000002	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000006	O/0.999991	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
级	CHN	O	O/0.999998	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
,	PUNC	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
四	CHN	R-B	Bo-B/0.999543	Bo-B/0.999543	Bo-I/0.000005	Ch-B/0.000177	Ch-I/0.000000	O/0.000001	Si-B/0.000035	Si-I/0.000000	Sy-B/0.000151	Sy-I/0.000000	Tr-B/0.000087	Tr-I/0.000000
肢	CHN	R-I	Bo-I/0.999608	Bo-B/0.000010	Bo-I/0.999608	Ch-B/0.000000	Ch-I/0.000135	O/0.000015	Si-B/0.000002	Si-I/0.000018	Sy-B/0.000001	Sy-I/0.000163	Tr-B/0.000002	Tr-I/0.000046
肌	CHN	R-B	Ch-B/0.999178	Bo-B/0.000376	Bo-I/0.000018	Ch-B/0.999178	Ch-I/0.000000	O/0.000004	Si-B/0.000097	Si-I/0.000000	Sy-B/0.000098	Sy-I/0.000000	Tr-B/0.000228	Tr-I/0.000000
张	CHN	R-I	Ch-I/0.999221	Bo-B/0.000001	Bo-I/0.000384	Ch-B/0.000002	Ch-I/0.999221	O/0.000000	Si-B/0.000000	Si-I/0.000086	Sy-B/0.000000	Sy-I/0.000088	Tr-B/0.000000	Tr-I/0.000216
力	CHN	R-I	Ch-I/0.998443	Bo-B/0.000017	Bo-I/0.000638	Ch-B/0.000009	Ch-I/0.998443	O/0.000043	Si-B/0.000008	Si-I/0.000198	Sy-B/0.000008	Sy-I/0.000233	Tr-B/0.000010	Tr-I/0.000392
对	CHN	O	O/0.999996	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000002	O/0.999996	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
称	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
正	CHN	O	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000
